Brown Fish Owl 
Mottled Wood Owl 
Brown Wood Owl 
Jungle Owlet 
Spotted Owlet 
Brown Hawk Owl 
Short eared Owl 
Ceylon Frogmouth 
Indian Jungle Nightjar 
Sykes Nightjar
Jerdons Nightjar
Indian Little Nightjar 
Savanna Nightjar 
Indian Swiftlet 
Indian White rumped Spinetail
Brown backed Needletail
Asian Palm Swift 
Alpine Swift 
Pacific Swift 
Little Swift 
Crested Tree Swift 
Malabar Trogon 
Common Kingfisher 
Blue eared Kingfisher 
Black backed Dwarf Kingfisher 
Stork billed Kingfisher 
White throated Kingfisher 
Black capped Kingfisher 
Collared Kingfisher
Lesser Pied Kingfisher 
Blue bearded Bee eater 
Little Green Bee eater 
Blue tailed Bee eater 
European Bee eater
Chestnut headed Bee eater 
European Roller 
Indian Roller 
Dollarbird
Common Hoopoe 
Malabar Grey Hornbill 
Indian Grey Hornbill 
Malabar Pied Hornbill 
Great Pied Hornbill 
Brown headed Barbet 
White cheeked Barbet 
Malabar Barbet 
Coppersmith Barbet 
Eurasian Wryneck 
Speckled Piculet 
Indian Pygmy Woodpecker 
Yellow fronted Pied Woodpecker 
Rufous Woodpecker 
White bellied Woodpecker 
Lesser Yellownape
Streak throated Woodpecker 
Common Flameback
Black rumped Flameback
White naped Flameback
Greater Flameback
Heart spotted Woodpecker 
Indian Pitta 
Singing Bushlark
Indian Bushlark
Jerdons Bush Lark 
Ashy crowned Finch Lark 
Rufous tailed Lark 
Bimaculated Lark
Greater Short toed Lark 
Malabar Lark 
Sykes Lark
Oriental Skylark 
Common Sand Martin
Grey throated Sand Martin 
Eurasian Crag Martin 
Dusky Crag Martin 
Barn Swallow 
Hill Swallow 
Wire tailed Swallow 
Red rumped Swallow 
Streak throated Swallow 
Northern House Martin 
Forest Wagtail 
White Wagtail 
White browed Wagtail 
Citrine Wagtail 
Western Yellow Wagtail 
Grey Wagtail 
Richards Pipit 
Paddyfield Pipit 
Tawny Pipit
Blyths Pipit 
Long billed Pipit 
Tree Pipit
Olive backed Pipit 
Red throated Pipit
Nilgiri Pipit 
Large Cuckoo Shrike 
Black winged Cuckoo Shrike
Black headed Cuckoo Shrike 
Rosy Minivet
Ashy Minivet 
Small Minivet 
White bellied Minivet
Orange Minivet 
Pied Flycatcher Shrike 
Malabar Woodshrike 
Common Woodshrike 
Grey headed Bulbul 
Flame throated Bulbul 
Red whiskered Bulbul 
White eared Bulbul
Red vented Bulbul 
Yellow throated Bulbul 
White browed Bulbul 
Yellow browed Bulbul 
Square tailed Black Bulbul 
Common Iora 
Marshalls Iora
Jerdons Leafbird
Gold fronted Leafbird
Asian Fairy Bluebird
Isabelline Shrike
Brown Shrike
Bay backed Shrike 
Long tailed Shrike 
Southern Grey Shrike
Blue headed Rock Thrush 
Blue Rock Thrush 
Malabar Whistling Thrush 
Pied Ground Thrush 
Orange headed Thrush 
Nilgiri Thrush 
Tickells Thrush
Indian Blackbird 
Eyebrowed Thrush
Nilgiri Blue Robin
Siberian Rubythroat
Bluethroat 
Indian Blue Robin 
Oriental Magpie Robin 
White rumped Shama 
Indian Black Robin 
Black Redstart 
Common Stonechat 
Pied Bushchat 
Grey Bushchat
Isabelline Wheatear
Brown Rock Chat
Wynaad Laughingthrush 
Black chinned Laughing thrush
Puff throated Babbler 
Indian Scimitar Babbler 
Tawny bellied Babbler 
Dark fronted Babbler 
Striped Tit Babbler
Yellow eyed Babbler 
Common Babbler
Large Grey Babbler
Indian Rufous Babbler 
Jungle Babbler 
Yellow billed Babbler 
Brown cheeked Fulvetta
Zitting Cisticola
Bright capped Cisticola
Rufous fronted Prinia
Grey breasted Prinia 
Jungle Prinia 
Ashy Prinia 
Plain Prinia 
Grasshopper Warbler 
Rusty rumped Warbler
Paddyfield Warbler
Blyths Reed Warbler 
Indian Reed Warbler 
Thick billed Warbler 
Booted Warbler
Sykes Warbler
Common Tailorbird 
Siberian Chiffchaff 
Tickells Warbler 
Sulphur bellied Warbler
Yellow browed Leaf Warbler
Humes Leaf Warbler
Greenish Warbler
Bright Green Warbler
Large billed Leaf Warbler 
Tytlers Leaf Warbler 
Western Crowned Warbler 
Bristled Grassbird
Indian Broad tailed Grass Warbler
Lesser Whitethroat
Humes Whitethroat
